Package,Dependency,Version,License,Description
admin-portal,dompurify,^3.2.4,(MPL-2.0 OR Apache-2.0),"DOMPurify is a DOM-only, super-fast, uber-tolerant XSS sanitizer for HTML, MathML and SVG. It's written in JavaScript and works in all modern browsers (Safari, Opera (15+), Internet Explorer (10+), Firefox and Chrome - as well as almost anything else usin"
admin-portal,fs-extra,^11.2.0,MIT,"fs-extra contains methods that aren't included in the vanilla Node.js fs package. Such as recursive mkdir, copy, and remove."
admin-portal,graphql,^16.8.1,MIT,A Query Language and Runtime which can target any service.
admin-portal,i18next,^21.8.16,MIT,i18next internationalization framework
admin-portal,i18next-browser-languagedetector,^6.1.4,MIT,language detector used in browser environment for i18next
admin-portal,intl-tel-input,^24.5.0,MIT,A JavaScript plugin for entering and validating international telephone numbers
admin-portal,jotai,^2.6.0,MIT,👻 Primitive and flexible state management for React
admin-portal,json-edit-react,^1.17.1,MIT,React component for editing or viewing JSON/object data
admin-portal,keycloak-js,^22.0.1,Apache-2.0,A client-side JavaScript OpenID Connect library that can be used to secure web applications.
admin-portal,lodash,^4.17.21,MIT,Lodash modular utilities.
admin-portal,moment-timezone,^0.5.46,MIT,Parse and display moments in any timezone.
admin-portal,mui-image,1.0.7,ISC,Display images as per the Material guidelines. For React apps using Material-UI.
admin-portal,process,^0.11.10,MIT,process information for node.js and browsers
admin-portal,ra-data-hasura,0.6.0,MIT,A data provider for connecting react-admin to a Hasura endpoint
admin-portal,react,18.1.0,MIT,React is a JavaScript library for building user interfaces.
admin-portal,react-admin,4.12.4,MIT,"A frontend Framework for building admin applications on top of REST services, using ES6, React and Material UI"
admin-portal,react-admin-import-csv,4.0.1,MIT,CSV import button for react-admin
admin-portal,react-admin-json-view,2.0.0,MIT,JSON field and input for react-admin.
admin-portal,react-apexcharts,1.4.1,MIT,React.js wrapper for ApexCharts
admin-portal,react-diff-view,^3.2.0,MIT,A git diff component to consume the git unified diff output.
admin-portal,react-dnd,16.0.1,MIT,Drag and Drop for React
admin-portal,react-dnd-html5-backend,16.0.1,MIT,HTML5 backend for React DnD
admin-portal,react-dom,18.1.0,MIT,React package for working with the DOM.
admin-portal,react-i18next,11.18.3,MIT,Internationalization for react done right. Using the i18next i18n ecosystem.
admin-portal,react-js-cron,^5.0.1,MIT,A React cron editor with antd inspired by jqCron
admin-portal,react-redux,8.1.2,MIT,Official React bindings for Redux
admin-portal,react-router,^6.1.0,MIT,Declarative routing for React
admin-portal,react-router-dom,^6.1.0,MIT,Declarative routing for React web applications
admin-portal,react-scripts,5.0.1,MIT,Configuration and scripts for Create React App.
admin-portal,sql.js,^1.13.0,MIT,"SQLite library with support for opening and writing databases, prepared statements, and more. This SQLite library is in pure javascript (compiled with emscripten)."
admin-portal,stream-browserify,^3.0.0,MIT,the stream module from node core for browsers
admin-portal,util,^0.12.5,MIT,Node.js's util module for all engines
admin-portal,uuid,9.0.0,MIT,RFC9562 UUIDs
admin-portal,web-vitals,^2.1.0,Apache-2.0,Easily measure performance metrics in JavaScript
b3,borsh,1.5,MIT OR Apache-2.0,Binary Object Representation Serializer for Hashing
b3,strum,0.26.3,MIT,Helpful macros for working with enums and strings
b3,anyhow,1.0,MIT OR Apache-2.0,Flexible concrete Error type built on std::error::Error
b3,rayon,1.5,MIT OR Apache-2.0,Simple work-stealing parallelism for Rust
b3,futures,0.3,MIT OR Apache-2.0,"An implementation of futures and streams featuring zero allocations, composability, and iterator-like interfaces."
b3,config,0.14,MIT OR Apache-2.0,Layered configuration system for Rust applications.
b3,log,0.4.17,MIT OR Apache-2.0,A lightweight logging facade for Rust
b3,tracing,0.1,MIT,Application-level tracing for Rust.
b3,tracing-log,0.2.0,MIT,Provides compatibility between `tracing` and the `log` crate.
b3,tracing-attributes,0.1.23,MIT,Procedural macro attributes for automatically instrumenting functions.
b3,tracing-subscriber,0.3.16,MIT,Utilities for implementing and composing `tracing` subscribers.
b3,tracing-tree,0.4.0,MIT OR Apache-2.0,A Tracing Layer which prints a tree of spans and events.
b3,cfg-if,1.0,MIT OR Apache-2.0,"A macro to ergonomically define an item depending on a large number of #[cfg] parameters. Structured like an if-else chain, the first matching branch is the item that gets emitted."
b3,hex,0.4.2,MIT OR Apache-2.0,Encoding and decoding data into/from hexadecimal representation.
b3,base64,0.22.1,MIT OR Apache-2.0,encodes and decodes base64 as bytes or utf8
b3,serde,1.0.152,MIT OR Apache-2.0,A generic serialization/deserialization framework
b3,toml,0.8.19,MIT OR Apache-2.0,A native Rust encoder and decoder of TOML-formatted files and streams. Provides implementations of the standard Serialize/Deserialize traits for TOML data to facilitate deserializing and serializing Rust structures.
b3,tonic,0.12.3,MIT,"A gRPC over HTTP/2 implementation focused on high performance, interoperability, and flexibility."
b3,prost,0.13.3,Apache-2.0,A Protocol Buffers implementation for the Rust Language.
b3,tokio,1.38.1,MIT,"An event-driven, non-blocking I/O platform for writing asynchronous I/O backed applications."
b3,tokio-postgres,0.7.10,MIT OR Apache-2.0,"A native, asynchronous PostgreSQL client"
b3,bb8-postgres,0.8.1,MIT,Full-featured async (tokio-based) postgres connection pool (like r2d2)
b3,clap,4.0,MIT OR Apache-2.0,"A simple to use, efficient, and full-featured Command Line Argument Parser"
ballot-verifier,@craco/craco,^7.1.0,Apache-2.0,"Create React App Configuration Override, an easy and comprehensible configuration layer for create-react-app."
ballot-verifier,@apollo/client,3.8.0,MIT,A fully-featured caching GraphQL client.
ballot-verifier,@fortawesome/fontawesome-svg-core,^6.1.1,MIT,"The iconic font, CSS, and SVG framework"
ballot-verifier,@fortawesome/free-brands-svg-icons,^6.1.1,(CC-BY-4.0 AND MIT),"The iconic font, CSS, and SVG framework"
ballot-verifier,@fortawesome/free-solid-svg-icons,^6.1.1,(CC-BY-4.0 AND MIT),"The iconic font, CSS, and SVG framework"
ballot-verifier,@fortawesome/react-fontawesome,^0.1.18,MIT,Official React component for Font Awesome
ballot-verifier,i18next,^21.8.16,MIT,i18next internationalization framework
ballot-verifier,i18next-browser-languagedetector,^6.1.4,MIT,language detector used in browser environment for i18next
ballot-verifier,lodash,^4.17.21,MIT,Lodash modular utilities.
ballot-verifier,react,18.1.0,MIT,React is a JavaScript library for building user interfaces.
ballot-verifier,react-dom,18.1.0,MIT,React package for working with the DOM.
ballot-verifier,mui-image,1.0.7,ISC,Display images as per the Material guidelines. For React apps using Material-UI.
ballot-verifier,react-i18next,11.18.3,MIT,Internationalization for react done right. Using the i18next i18n ecosystem.
ballot-verifier,react-redux,8.1.2,MIT,Official React bindings for Redux
ballot-verifier,react-router-dom,6.11.2,MIT,Declarative routing for React web applications
ballot-verifier,@mui/material,5.13.3,MIT,Material UI is an open-source React component library that implements Google's Material Design. It's comprehensive and can be used in production out of the box.
ballot-verifier,@reduxjs/toolkit,1.9.5,MIT,"The official, opinionated, batteries-included toolset for efficient Redux development"
ballot-verifier,@emotion/react,11.10.0,MIT,> Simple styling in React.
ballot-verifier,@emotion/styled,11.10.0,MIT,styled API for emotion
ballot-verifier,react-scripts,5.0.1,MIT,Configuration and scripts for Create React App.
ballot-verifier,web-vitals,^2.1.0,Apache-2.0,Easily measure performance metrics in JavaScript
braid,rand,0.8,MIT OR Apache-2.0,Random number generators and other randomness functionality.
braid,getrandom,=0.2.14,MIT OR Apache-2.0,A small cross-platform library for retrieving random data from system source
braid,crepe,0.1.5,MIT OR Apache-2.0,Datalog in Rust as a procedural macro
braid,strum,0.26.3,MIT,Helpful macros for working with enums and strings
braid,rayon,1.5,MIT OR Apache-2.0,Simple work-stealing parallelism for Rust
braid,tonic,0.12.3,MIT,"A gRPC over HTTP/2 implementation focused on high performance, interoperability, and flexibility."
braid,rusqlite,0.32.1,MIT,Ergonomic wrapper for SQLite
braid,serde_json,1.0.133,MIT OR Apache-2.0,A JSON serialization file format
braid,colored,2.0.4,MPL-2.0,The most simple way to add colors in your terminal
braid,clap,4.0,MIT OR Apache-2.0,"A simple to use, efficient, and full-featured Command Line Argument Parser"
braid,tokio,1.40.0,MIT,"An event-driven, non-blocking I/O platform for writing asynchronous I/O backed applications."
braid,rustc-hash,2.0.0,Apache-2.0 OR MIT,"A speedy, non-cryptographic hashing algorithm used by rustc"
braid,log,0.4.17,MIT OR Apache-2.0,A lightweight logging facade for Rust
braid,tracing,0.1,MIT,Application-level tracing for Rust.
braid,tracing-log,0.2.0,MIT,Provides compatibility between `tracing` and the `log` crate.
braid,tracing-attributes,0.1.23,MIT,Procedural macro attributes for automatically instrumenting functions.
braid,tracing-subscriber,0.3.16,MIT,Utilities for implementing and composing `tracing` subscribers.
braid,tracing-tree,0.4.0,MIT OR Apache-2.0,A Tracing Layer which prints a tree of spans and events.
braid,cfg-if,1.0,MIT OR Apache-2.0,"A macro to ergonomically define an item depending on a large number of #[cfg] parameters. Structured like an if-else chain, the first matching branch is the item that gets emitted."
braid,config,0.14.1,MIT OR Apache-2.0,Layered configuration system for Rust applications.
braid,hex,0.4.2,MIT OR Apache-2.0,Encoding and decoding data into/from hexadecimal representation.
braid,base64,0.22.1,MIT OR Apache-2.0,encodes and decodes base64 as bytes or utf8
braid,serde,1.0.152,MIT OR Apache-2.0,A generic serialization/deserialization framework
braid,toml,0.8.19,MIT OR Apache-2.0,A native Rust encoder and decoder of TOML-formatted files and streams. Provides implementations of the standard Serialize/Deserialize traits for TOML data to facilitate deserializing and serializing Rust structures.
braid,anyhow,1.0,MIT OR Apache-2.0,Flexible concrete Error type built on std::error::Error
braid,thiserror,2.0.3,MIT OR Apache-2.0,derive(Error)
braid,wasm-bindgen-rayon,1.0.3,Apache-2.0,Adapter for using Rayon-based concurrency on the Web
braid,wasm-bindgen,=0.2.101,MIT OR Apache-2.0,Easy support for interacting between JS and Rust.
braid,tracing-wasm,0.2.1,MIT OR Apache-2.0,tracing subscriber for browser WASM
braid,reedline-repl-rs,1.0.7,MIT,Library to generate a fancy REPL for your application based on reedline and clap
braid,ascii_table,4.0.2,MIT,Print ASCII tables to the terminal
braid,async-trait,0.1.73,MIT OR Apache-2.0,Type erasure for async trait methods
braid,tikv-jemallocator,0.6.0,MIT/Apache-2.0,A Rust allocator backed by jemalloc
braid,tikv-jemalloc-ctl,0.6.0,MIT/Apache-2.0,A safe wrapper over jemalloc's control and introspection APIs
e2e,rocket,0.5.0,MIT OR Apache-2.0,"Web framework with a focus on usability, security, extensibility, and speed."
e2e,serde,1.0,MIT OR Apache-2.0,A generic serialization/deserialization framework
e2e,serde_json,1.0,MIT OR Apache-2.0,A JSON serialization file format
e2e,csv,1.1,Unlicense/MIT,Fast CSV parsing with support for serde.
e2e,rusqlite,0.32,MIT,Ergonomic wrapper for SQLite
e2e,tokio,1.0,MIT,"An event-driven, non-blocking I/O platform for writing asynchronous I/O backed applications."
e2e,anyhow,1.0,MIT OR Apache-2.0,Flexible concrete Error type built on std::error::Error
e2e,rand,0.8.5,MIT OR Apache-2.0,Random number generators and other randomness functionality.
e2e,uuid,1.5.0,Apache-2.0 OR MIT,A library to generate and parse UUIDs.
e2e,reqwest,0.12.5,MIT OR Apache-2.0,higher level HTTP client library
e2e,clap,4.0,MIT OR Apache-2.0,"A simple to use, efficient, and full-featured Command Line Argument Parser"
electoral-log,clap,4.0,MIT OR Apache-2.0,"A simple to use, efficient, and full-featured Command Line Argument Parser"
electoral-log,borsh,1.5,MIT OR Apache-2.0,Binary Object Representation Serializer for Hashing
electoral-log,anyhow,1.0.75,MIT OR Apache-2.0,Flexible concrete Error type built on std::error::Error
electoral-log,serde,1.0.215,MIT OR Apache-2.0,A generic serialization/deserialization framework
electoral-log,strum,0.26,MIT,Helpful macros for working with enums and strings
electoral-log,strum_macros,0.26,MIT,Helpful macros for working with enums and strings
electoral-log,tokio,1.38.1,MIT,"An event-driven, non-blocking I/O platform for writing asynchronous I/O backed applications."
electoral-log,tonic,0.12.3,MIT,"A gRPC over HTTP/2 implementation focused on high performance, interoperability, and flexibility."
electoral-log,hex,0.4.3,MIT OR Apache-2.0,Encoding and decoding data into/from hexadecimal representation.
electoral-log,serde_json,1.0,MIT OR Apache-2.0,A JSON serialization file format
electoral-log,log,0.4.17,MIT OR Apache-2.0,A lightweight logging facade for Rust
electoral-log,tracing,0.1,MIT,Application-level tracing for Rust.
electoral-log,tracing-log,0.2.0,MIT,Provides compatibility between `tracing` and the `log` crate.
electoral-log,tracing-attributes,0.1.23,MIT,Procedural macro attributes for automatically instrumenting functions.
electoral-log,tracing-subscriber,0.3.16,MIT,Utilities for implementing and composing `tracing` subscribers.
electoral-log,tracing-tree,0.4.0,MIT OR Apache-2.0,A Tracing Layer which prints a tree of spans and events.
harvest,rocket,0.5.0,MIT OR Apache-2.0,"Web framework with a focus on usability, security, extensibility, and speed."
harvest,serde,1.0.215,MIT OR Apache-2.0,A generic serialization/deserialization framework
harvest,serde_json,1.0.133,MIT OR Apache-2.0,A JSON serialization file format
harvest,serde_with,3.4.0,MIT OR Apache-2.0,Custom de/serialization functions for Rust's serde
harvest,bstr,1.11.3,MIT OR Apache-2.0,A string type that is not required to be valid UTF-8.
harvest,reqwest,0.12,MIT OR Apache-2.0,higher level HTTP client library
harvest,handlebars,6.1.0,MIT,Handlebars templating implemented in Rust.
harvest,anyhow,1.0.75,MIT OR Apache-2.0,Flexible concrete Error type built on std::error::Error
harvest,tempfile,3.15.0,MIT OR Apache-2.0,A library for managing temporary files and directories.
harvest,either,1.9.0,MIT OR Apache-2.0,The enum `Either` with variants `Left` and `Right` is a general purpose sum type with two cases.
harvest,dotenv,0.15.0,MIT,A `dotenv` implementation for Rust
harvest,graphql_client,0.14.0,Apache-2.0 OR MIT,Typed GraphQL requests and responses
harvest,tokio,1.32.0,MIT,"An event-driven, non-blocking I/O platform for writing asynchronous I/O backed applications."
harvest,chrono,0.4.31,MIT OR Apache-2.0,Date and time library for Rust
harvest,base64,0.22.1,MIT OR Apache-2.0,encodes and decodes base64 as bytes or utf8
harvest,celery,0.5.5,Apache-2.0,Rust implementation of Celery
harvest,strum,0.26,MIT,Helpful macros for working with enums and strings
harvest,strum_macros,0.26,MIT,Helpful macros for working with enums and strings
harvest,uuid,1.5.0,Apache-2.0 OR MIT,A library to generate and parse UUIDs.
harvest,aws-config,1.0.3,Apache-2.0,AWS SDK config and credential provider implementations.
harvest,aws-sdk-s3,1.11.0,Apache-2.0,AWS SDK for Amazon Simple Storage Service
harvest,tracing,0.1,MIT,Application-level tracing for Rust.
harvest,deadpool-postgres,0.14.0,MIT OR Apache-2.0,Dead simple async pool for tokio-postgres
harvest,tokio-postgres,0.7,MIT OR Apache-2.0,"A native, asynchronous PostgreSQL client"
harvest,regex,1.10.2,MIT OR Apache-2.0,An implementation of regular expressions for Rust. This implementation uses finite automata and guarantees linear time matching on all inputs.
immu-board,anyhow,1.0,MIT OR Apache-2.0,Flexible concrete Error type built on std::error::Error
immu-board,clap,4.0,MIT OR Apache-2.0,"A simple to use, efficient, and full-featured Command Line Argument Parser"
immu-board,tokio,1.31.0,MIT,"An event-driven, non-blocking I/O platform for writing asynchronous I/O backed applications."
immu-board,tonic,0.12.3,MIT,"A gRPC over HTTP/2 implementation focused on high performance, interoperability, and flexibility."
immu-board,hex,0.4.3,MIT OR Apache-2.0,Encoding and decoding data into/from hexadecimal representation.
immu-board,log,0.4.17,MIT OR Apache-2.0,A lightweight logging facade for Rust
immu-board,tracing,0.1,MIT,Application-level tracing for Rust.
immu-board,tracing-log,0.2.0,MIT,Provides compatibility between `tracing` and the `log` crate.
immu-board,tracing-attributes,0.1.23,MIT,Procedural macro attributes for automatically instrumenting functions.
immu-board,tracing-subscriber,0.3.16,MIT,Utilities for implementing and composing `tracing` subscribers.
immu-board,tracing-tree,0.4.0,MIT OR Apache-2.0,A Tracing Layer which prints a tree of spans and events.
immudb-rs,anyhow,1.0,MIT OR Apache-2.0,Flexible concrete Error type built on std::error::Error
immudb-rs,tonic,0.12.3,MIT,"A gRPC over HTTP/2 implementation focused on high performance, interoperability, and flexibility."
immudb-rs,prost,0.13.3,Apache-2.0,A Protocol Buffers implementation for the Rust Language.
immudb-rs,prost-types,0.13.3,Apache-2.0,Prost definitions of Protocol Buffers well known types.
immudb-rs,serde,1.0.152,MIT OR Apache-2.0,A generic serialization/deserialization framework
immudb-rs,log,0.4.17,MIT OR Apache-2.0,A lightweight logging facade for Rust
immudb-rs,tracing,0.1,MIT,Application-level tracing for Rust.
immudb-rs,tracing-log,0.2.0,MIT,Provides compatibility between `tracing` and the `log` crate.
immudb-rs,tracing-attributes,0.1.23,MIT,Procedural macro attributes for automatically instrumenting functions.
immudb-rs,tracing-subscriber,0.3.16,MIT,Utilities for implementing and composing `tracing` subscribers.
immudb-rs,tracing-tree,0.4.0,MIT OR Apache-2.0,A Tracing Layer which prints a tree of spans and events.
keycloak-extensions,jakarta.validation:jakarta.validation-api,3.1.1,Apache License 2.0,Jakarta Validation API
keycloak-extensions,org.projectlombok:lombok,1.18.40,The MIT License,"Spice up your java: Automatic Resource Management, automatic generation of getters, setters, equals, hashCode and toString, and more!"
keycloak-extensions,com.sun.mail:javax.mail,1.6.2,N/A,
keycloak-extensions,org.apache.httpcomponents:httpcore,4.4.16,N/A,Apache HttpComponents Core (blocking I/O)
orare,serde,1.0,MIT OR Apache-2.0,A generic serialization/deserialization framework
orare,serde_json,1.0,MIT OR Apache-2.0,A JSON serialization file format
orare,cfg-if,1.0,MIT OR Apache-2.0,"A macro to ergonomically define an item depending on a large number of #[cfg] parameters. Structured like an if-else chain, the first matching branch is the item that gets emitted."
orare,syn,2.0,MIT OR Apache-2.0,Parser for Rust source code
orare,quote,1.0,MIT OR Apache-2.0,Quasi-quoting macro quote!(...)
orare,proc-macro2,1.0,MIT OR Apache-2.0,A substitute implementation of the compiler's `proc_macro` API to decouple token-based libraries from the procedural macro use case.
orare,clap,4.5,MIT OR Apache-2.0,"A simple to use, efficient, and full-featured Command Line Argument Parser"
orare,anyhow,1.0,MIT OR Apache-2.0,Flexible concrete Error type built on std::error::Error
sequent-core,serde,1.0.215,MIT OR Apache-2.0,A generic serialization/deserialization framework
sequent-core,serde_json,1.0.133,MIT OR Apache-2.0,A JSON serialization file format
sequent-core,serde_path_to_error,0.1,MIT OR Apache-2.0,Path to the element that failed to deserialize
sequent-core,borsh,1.5,MIT OR Apache-2.0,Binary Object Representation Serializer for Hashing
sequent-core,wasm-bindgen,=0.2.101,MIT OR Apache-2.0,Easy support for interacting between JS and Rust.
sequent-core,serde-wasm-bindgen,0.6,MIT,Native Serde adapter for wasm-bindgen
sequent-core,web-sys,0.3.4,MIT OR Apache-2.0,"Bindings for all Web APIs, a procedurally generated crate from WebIDL"
sequent-core,cfg-if,1.0,MIT OR Apache-2.0,"A macro to ergonomically define an item depending on a large number of #[cfg] parameters. Structured like an if-else chain, the first matching branch is the item that gets emitted."
sequent-core,ed25519-dalek,=2.1.1,BSD-3-Clause,"Fast and efficient ed25519 EdDSA key generations, signing, and verification in pure Rust."
sequent-core,curve25519-dalek,=4.1.3,BSD-3-Clause,A pure-Rust implementation of group operations on ristretto255 and Curve25519
sequent-core,aws-config,1.6.0,Apache-2.0,AWS SDK config and credential provider implementations.
sequent-core,aws-sdk-sesv2,1.70.0,Apache-2.0,AWS SDK for Amazon Simple Email Service
sequent-core,aws-sdk-sns,1.63.0,Apache-2.0,AWS SDK for Amazon Simple Notification Service
sequent-core,aws-sdk-s3,1.79.0,Apache-2.0,AWS SDK for Amazon Simple Storage Service
sequent-core,aws-smithy-types,1.3.0,Apache-2.0,Types for smithy-rs codegen.
sequent-core,sha256,1.6,MIT OR Apache-2.0,sha256 crypto digest
sequent-core,chrono,0.4,MIT OR Apache-2.0,Date and time library for Rust
sequent-core,time,0.3.31,MIT OR Apache-2.0,Date and time library. Fully interoperable with the standard library. Mostly compatible with #![no_std].
sequent-core,hex,0.4,MIT OR Apache-2.0,Encoding and decoding data into/from hexadecimal representation.
sequent-core,base64,0.22.1,MIT OR Apache-2.0,encodes and decodes base64 as bytes or utf8
sequent-core,schemars,0.8,MIT,Generate JSON Schemas from Rust code
sequent-core,num-bigint,0.4,MIT/Apache-2.0,Big integer implementation for Rust
sequent-core,num-traits,0.2,MIT OR Apache-2.0,Numeric traits for generic mathematics
sequent-core,quick-error,2.0.0,MIT/Apache-2.0,A macro which makes error types pleasant to write.
sequent-core,strum,0.26,MIT,Helpful macros for working with enums and strings
sequent-core,strum_macros,0.26,MIT,Helpful macros for working with enums and strings
sequent-core,console_error_panic_hook,0.1.7,Apache-2.0/MIT,A panic hook for `wasm32-unknown-unknown` that logs panics to `console.error`
sequent-core,anyhow,1.0.75,MIT OR Apache-2.0,Flexible concrete Error type built on std::error::Error
sequent-core,phf,0.11,MIT,Runtime support for perfect hash function data structures
sequent-core,handlebars,6.1.0,MIT,Handlebars templating implemented in Rust.
sequent-core,handlebars-chrono,0.2.1,BSD-2-Clause,Handlebars helper for using chrono DateTime
sequent-core,num-format,0.4.4,MIT/Apache-2.0,"A Rust crate for producing string-representations of numbers, formatted according to international standards"
sequent-core,headless_chrome,1.0.12,MIT,Control Chrome programmatically
sequent-core,reqwest,0.12,MIT OR Apache-2.0,higher level HTTP client library
sequent-core,reqwest-retry,0.7.0,MIT OR Apache-2.0,Retry middleware for reqwest.
sequent-core,reqwest-middleware,=0.3.1,MIT OR Apache-2.0,Wrapper around reqwest to allow for client middleware chains.
sequent-core,tracing,0.1,MIT,Application-level tracing for Rust.
sequent-core,tracing-subscriber,0.3.16,MIT,Utilities for implementing and composing `tracing` subscribers.
sequent-core,tracing-tree,0.4.0,MIT OR Apache-2.0,A Tracing Layer which prints a tree of spans and events.
sequent-core,tracing-log,0.2.0,MIT,Provides compatibility between `tracing` and the `log` crate.
sequent-core,tempfile,3.8.0,MIT OR Apache-2.0,A library for managing temporary files and directories.
sequent-core,keycloak,26.0.200,Unlicense OR MIT,Keycloak Admin REST API.
sequent-core,openid,0.18.3,Unlicense OR MIT,OpenID Connect & Discovery client library using async / await.
sequent-core,serde_urlencoded,0.7.1,MIT/Apache-2.0,`x-www-form-urlencoded` meets Serde
sequent-core,rocket,0.5.0,MIT OR Apache-2.0,"Web framework with a focus on usability, security, extensibility, and speed."
sequent-core,uuid,1.5.0,Apache-2.0 OR MIT,A library to generate and parse UUIDs.
sequent-core,regex,1.10.2,MIT OR Apache-2.0,An implementation of regular expressions for Rust. This implementation uses finite automata and guarantees linear time matching on all inputs.
sequent-core,jsonwebtoken,9.1.0,MIT,Create and decode JWTs in a strongly typed way.
sequent-core,tokio-postgres,0.7,MIT OR Apache-2.0,"A native, asynchronous PostgreSQL client"
sequent-core,tokio,1.44,MIT,"An event-driven, non-blocking I/O platform for writing asynchronous I/O backed applications."
sequent-core,warp,0.3,MIT,serve the web at warp speeds
sequent-core,ammonia,4.0.0,MIT OR Apache-2.0,HTML Sanitization
sequent-core,rand,0.8,MIT OR Apache-2.0,Random number generators and other randomness functionality.
sequent-core,async-trait,0.1,MIT OR Apache-2.0,Type erasure for async trait methods
sequent-core,printpdf,0.7.0,MIT,Rust library for reading and writing PDF files
sequent-core,kuchiki,0.8.1,MIT,(朽木) HTML/XML tree manipulation library
sequent-core,rusqlite,0.32,MIT,Ergonomic wrapper for SQLite
sequent-core,csv,1.3.0,Unlicense/MIT,Fast CSV parsing with support for serde.
step-cli,anyhow,1.0,MIT OR Apache-2.0,Flexible concrete Error type built on std::error::Error
step-cli,clap,4.5.8,MIT OR Apache-2.0,"A simple to use, efficient, and full-featured Command Line Argument Parser"
step-cli,serde,1.0.215,MIT OR Apache-2.0,A generic serialization/deserialization framework
step-cli,serde_json,1.0.133,MIT OR Apache-2.0,A JSON serialization file format
step-cli,strum,0.26,MIT,Helpful macros for working with enums and strings
step-cli,strum_macros,0.26,MIT,Helpful macros for working with enums and strings
step-cli,reqwest,0.12.5,MIT OR Apache-2.0,higher level HTTP client library
step-cli,graphql_client,0.14.0,Apache-2.0 OR MIT,Typed GraphQL requests and responses
step-cli,rayon,1.5,MIT OR Apache-2.0,Simple work-stealing parallelism for Rust
step-cli,uuid,1.5.0,Apache-2.0 OR MIT,A library to generate and parse UUIDs.
step-cli,fake,4,MIT OR Apache-2.0,"An easy to use library and command line for generating fake data like name, number, address, lorem, dates, etc."
step-cli,csv,1.1,Unlicense/MIT,Fast CSV parsing with support for serde.
step-cli,rand,0.8,MIT OR Apache-2.0,Random number generators and other randomness functionality.
step-cli,chrono,0.4,MIT OR Apache-2.0,Date and time library for Rust
step-cli,tokio,1.38.1,MIT,"An event-driven, non-blocking I/O platform for writing asynchronous I/O backed applications."
step-cli,tokio-postgres,0.7.10,MIT OR Apache-2.0,"A native, asynchronous PostgreSQL client"
step-cli,deadpool-postgres,0.11.0,MIT OR Apache-2.0,Dead simple async pool for tokio-postgres
step-cli,hex,0.4,MIT OR Apache-2.0,Encoding and decoding data into/from hexadecimal representation.
step-cli,ring,0.17,Apache-2.0 AND ISC,An experiment.
step-cli,sha2,0.10,MIT OR Apache-2.0,"Pure Rust implementation of the SHA-2 hash function family including SHA-224, SHA-256, SHA-384, and SHA-512."
